#Column heading	Definition
#Mass %	Mass of solute divided by total mass of solution, expressed as percent
#Molality, moles of solute per kg of water
#Molarity, moles of solute per liter of solution
#Density of solution, in g cm-3
#Index of refraction, relative to air, at a wavelength of 589 nm (sodium D line); the index of pure water at 20 ¡C is 1.3330
#Freezing point depression relative to pure water, in ¡C
#Absolute (dynamic) viscosity, in mPa s (equal to centipoise, cP); the viscosity of pure water at 20 ¡C is 1.002 mPa s
#Density data for aqueous solutions over a wider range of temperatures and pressures (and for additional compounds not in this table) may be found in Ref. 2.														
#														
Row	SubHeader	Solute	Synonym	Formula	CAS_Reg_No	Mol_wt	Mass_prct	Mass_fraction	Molality_m	Molarity_c	Density	Refractive_index_n	T_freeze_supression	Viscosity_dynamic
1	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	0.5	0.005	0.084	0.083	0.9989	1.3334	0.16	1.012
2	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	1	0.01	0.168	0.166	0.9996	1.3337	0.32	1.022
3	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	2	0.02	0.34	0.333	1.0011	1.3345	0.63	1.042
4	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	3	0.03	0.515	0.501	1.0025	1.3352	0.94	1.063
5	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	4	0.04	0.694	0.669	1.0038	1.3359	1.26	1.084
6	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	5	0.05	0.876	0.837	1.0052	1.3366	1.58	1.105
7	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	6	0.06	1.063	1.006	1.0066	1.3373	1.9	1.125
8	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	7	0.07	1.253	1.175	1.008	1.3381	2.23	1.143
9	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	8	0.08	1.448	1.345	1.0093	1.3388	2.56	1.162
10	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	9	0.09	1.647	1.515	1.0107	1.3395	2.89	1.186
11	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	10	0.1	1.85	1.685	1.0121	1.3402	3.23	1.21
12	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	11	0.11	2.058	1.856	1.0134	1.3409	3.57	1.231
13	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	12	0.12	2.271	2.028	1.0147	1.3416	3.91	1.253
14	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	13	0.13	2.488	2.2	1.0161	1.3423	4.26	1.275
15	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	14	0.14	2.711	2.372	1.0174	1.343	4.61	1.298
16	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	15	0.15	2.939	2.545	1.0187	1.3437	4.97	1.32
17	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	16	0.16	3.172	2.718	1.02	1.3444	5.33	1.341
18	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	17	0.17	3.411	2.891	1.0213	1.3451	5.69	1.36
19	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	18	0.18	3.655	3.065	1.0225	1.3458	6.06	1.38
20	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	19	0.19	3.906	3.239	1.0238	1.3465	6.43	1.405
21	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	20	0.2	4.163	3.414	1.025	1.3472	6.81	1.431
22	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	22	0.22	4.697	3.764	1.0275	1.3485	7.57	1.478
23	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	24	0.24	5.259	4.116	1.0299	1.3498	8.36	1.525
24	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	26	0.26	5.851	4.47	1.0323	1.3512	9.17	1.572
25	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	28	0.28	6.476	4.824	1.0346	1.3525	10	1.613
26	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	30	0.3	7.137	5.18	1.0369	1.3537	10.84	1.669
27	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	32	0.32	7.837	5.537	1.0391	1.355	11.7	1.715
28	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	34	0.34	8.579	5.896	1.0413	1.3562	12.55	1.762
29	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	36	0.36	9.367	6.255	1.0434	1.3574	13.38	1.812
30	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	38	0.38	10.207	6.615	1.0454	1.3586		1.852
31	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	40	0.4	11.102	6.977	1.0474	1.3598		1.912
32	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	42	0.42	12.059	7.339	1.0493	1.361		1.96
33	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	44	0.44	13.084	7.701	1.051	1.3621		2.007
34	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	46	0.46	14.186	8.065	1.0528	1.3632		2.052
35	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	48	0.48	15.372	8.429	1.0545	1.3642		2.11
36	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	50	0.5	16.653	8.794	1.0562	1.3653		2.158
37	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	52	0.52	18.041	9.159	1.0577	1.3663		2.212
38	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	54	0.54	19.549	9.525	1.0592	1.3673		2.265
39	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	56	0.56	21.194	9.89	1.0605	1.3682		2.308
40	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	58	0.58	22.997	10.256	1.0618	1.3691		2.36
41	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	60	0.6	24.979	10.62	1.0629	1.37		2.409
42	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	62	0.62	27.17	10.986	1.064	1.3708		2.456
43	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	64	0.64	29.605	11.351	1.065	1.3716		2.502
44	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	66	0.66	32.326	11.715	1.0659	1.3724		2.553
45	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	68	0.68	35.387	12.08	1.0668	1.3732		2.594
46	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	70	0.7	38.857	12.441	1.0673	1.3738		2.629
47	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	72	0.72	42.821	12.801	1.0676	1.3745		2.662
48	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	74	0.74	47.396	13.159	1.0678	1.3751		2.687
49	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	76	0.76	52.734	13.517	1.068	1.3757		2.714
50	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	78	0.78	59.042	13.874	1.0681	1.3762		2.72
51	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	80	0.8	66.611	14.228	1.068	1.3767		2.72
52	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	82	0.82	75.863	14.58	1.0677	1.377		2.696
53	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	84	0.84	87.427	14.93	1.0673	1.3773		2.658
54	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	86	0.86	102.296	15.275	1.0666	1.3774		2.596
55	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	88	0.88	122.12	15.619	1.0658	1.3774		2.511
56	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	90	0.9	149.875	15.953	1.0644	1.3771		2.386
57	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	92	0.92	191.507	16.284	1.0629	1.3766		2.24
58	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	94	0.94	260.894	16.602	1.0606	1.3759		2.036
59	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	96	0.96	399.667	16.911	1.0578	1.3748		1.813
60	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	98	0.98	815.987	17.198	1.0538	1.3734		1.535
61	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	100	1		17.447	1.0477	1.3716		1.223
62	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	0.5	0.005	0.087	0.086	0.9975	1.3334	0.16	1.013
63	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	1	0.01	0.174	0.172	0.9968	1.3337	0.32	1.024
64	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	1.5	0.015	0.262	0.257	0.9961	1.3341	0.48	1.035
65	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	2	0.02	0.351	0.343	0.9954	1.3344	0.65	1.047
66	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	2.5	0.025	0.441	0.428	0.9947	1.3348	0.81	1.059
67	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	3	0.03	0.533	0.513	0.994	1.3352	0.97	1.072
68	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	3.5	0.035	0.624	0.599	0.9933	1.3355	1.13	1.085
69	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	4	0.04	0.717	0.684	0.9926	1.3359	1.3	1.099
70	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	4.5	0.045	0.811	0.769	0.9919	1.3363	1.46	1.112
71	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	5	0.05	0.906	0.853	0.9912	1.3366	1.63	1.125
72	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	6	0.06	1.099	1.023	0.9899	1.3373	1.96	1.15
73	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	7	0.07	1.296	1.191	0.9886	1.3381	2.29	1.174
74	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	8	0.08	1.497	1.36	0.9874	1.3388	2.62	1.198
75	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	9	0.09	1.703	1.528	0.9861	1.3395	2.95	1.221
76	Acetone	Acetone	2-Propanone	(CH3)2CO	67-64-1	58.079	10	0.1	1.913	1.696	0.9849	1.3402	3.29	1.244
77	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	0.5	0.005	0.295	0.292	0.996	1.3332	0.55	1.009
78	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	1	0.01	0.593	0.584	0.9938	1.3335	1.14	1.015
79	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	2	0.02	1.198	1.162	0.9895	1.3339	2.32	1.029
80	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	3	0.03	1.816	1.736	0.9853	1.3344	3.53	1.043
81	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	4	0.04	2.447	2.304	0.9811	1.3349	4.78	1.057
82	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	5	0.05	3.09	2.868	0.977	1.3354	6.08	1.071
83	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	6	0.06	3.748	3.428	0.973	1.3359	7.43	1.085
84	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	7	0.07	4.42	3.983	0.969	1.3365	8.95	1.099
85	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	8	0.08	5.106	4.533	0.9651	1.337	10.34	1.113
86	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	9	0.09	5.807	5.08	0.9613	1.3376	11.9	1.127
87	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	10	0.1	6.524	5.622	0.9575	1.3381	13.55	1.141
88	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	11	0.11	7.257	6.16	0.9538	1.3387	15.29	1.155
89	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	12	0.12	8.007	6.695	0.9502	1.3393	17.13	1.169
90	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	13	0.13	8.774	7.226	0.9466	1.3398	19.07	1.182
91	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	14	0.14	9.558	7.753	0.9431	1.3404	21.13	1.195
92	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	15	0.15	10.362	8.275	0.9396	1.341	23.32	1.207
93	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	16	0.16	11.184	8.794	0.9361	1.3416	25.63	1.218
94	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	17	0.17	12.026	9.31	0.9327	1.3422	28.09	1.228
95	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	18	0.18	12.889	9.823	0.9294	1.3428	30.7	1.237
96	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	19	0.19	13.773	10.332	0.9261	1.3434	33.47	1.245
97	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	20	0.2	14.679	10.837	0.9228	1.344	36.42	1.254
98	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	22	0.22	16.561	11.838	0.9164	1.3453	43.36	1.268
99	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	24	0.24	18.542	12.826	0.9102	1.3465	51.38	1.28
100	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	26	0.26	20.63	13.801	0.904	1.3477	60.77	1.288
101	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	28	0.28	22.834	14.764	0.898	1.349	71.66	
102	Ammonia	Ammonia	R-717	NH3	7664-41-7	17.031	30	0.3	25.164	15.713	0.892	1.3502	84.06	
103	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	0.5	0.005	0.094	0.093	0.9998	1.334	0.32	0.999
104	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	1	0.01	0.189	0.187	1.0014	1.3349	0.64	0.996
105	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	2	0.02	0.382	0.376	1.0045	1.3369	1.27	0.992
106	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	3	0.03	0.578	0.565	1.0076	1.3388	1.91	0.988
107	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	4	0.04	0.779	0.756	1.0107	1.3407	2.57	0.985
108	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	5	0.05	0.984	0.948	1.0138	1.3426	3.25	0.982
109	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	6	0.06	1.193	1.141	1.0168	1.3445	3.94	0.979
110	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	7	0.07	1.407	1.335	1.0198	1.3464	4.66	0.976
111	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	8	0.08	1.626	1.529	1.0227	1.3483	5.4	0.974
112	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	9	0.09	1.849	1.726	1.0257	1.3502	6.16	0.972
113	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	10	0.1	2.077	1.923	1.0286	1.3521	6.95	0.97
114	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	11	0.11	2.311	2.121	1.0315	1.354	7.76	0.969
115	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	12	0.12	2.549	2.32	1.0344	1.3559	8.6	0.969
116	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	13	0.13	2.793	2.521	1.0373	1.3578	9.47	0.969
117	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	14	0.14	3.043	2.722	1.0401	1.3596		0.969
118	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	15	0.15	3.299	2.924	1.0429	1.3615		0.97
119	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	16	0.16	3.561	3.128	1.0457	1.3634		0.971
120	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	17	0.17	3.829	3.332	1.0485	1.3652		0.972
121	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	18	0.18	4.104	3.537	1.0512	1.3671		0.973
122	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	19	0.19	4.385	3.744	1.054	1.3689		0.975
123	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	20	0.2	4.674	3.951	1.0567	1.3708		0.978
124	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	22	0.22	5.273	4.368	1.0621	1.3745		0.986
125	Ammonium chloride	Ammonium chloride	Sal ammoniac	NH4Cl	12125-02-9	53.492	24	0.24	5.903	4.789	1.0674	1.3782		0.996
126	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	0.5	0.005	0.038	0.038	1.0012	1.3338	0.17	1.008
127	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	1	0.01	0.076	0.076	1.0042	1.3346	0.33	1.014
128	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	2	0.02	0.154	0.153	1.0101	1.3363	0.63	1.027
129	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	3	0.03	0.234	0.231	1.016	1.3379	0.92	1.041
130	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	4	0.04	0.315	0.309	1.022	1.3395	1.21	1.057
131	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	5	0.05	0.398	0.389	1.0279	1.3411	1.49	1.073
132	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	6	0.06	0.483	0.469	1.0338	1.3428	1.77	1.09
133	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	7	0.07	0.57	0.551	1.0397	1.3444	2.05	1.108
134	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	8	0.08	0.658	0.633	1.0456	1.346	2.33	1.127
135	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	9	0.09	0.748	0.716	1.0515	1.3476	2.61	1.147
136	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	10	0.1	0.841	0.8	1.0574	1.3492	2.89	1.168
137	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	12	0.12	1.032	0.971	1.0691	1.3523	3.47	1.21
138	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	14	0.14	1.232	1.145	1.0808	1.3555	4.07	1.256
139	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	16	0.16	1.441	1.323	1.0924	1.3586	4.69	1.305
140	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	18	0.18	1.661	1.504	1.1039	1.3616		1.359
141	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	20	0.2	1.892	1.688	1.1154	1.3647		1.421
142	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	22	0.22	2.134	1.876	1.1269	1.3677		1.49
143	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	24	0.24	2.39	2.067	1.1383	1.3707		1.566
144	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	26	0.26	2.659	2.262	1.1496	1.3737		1.65
145	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	28	0.28	2.943	2.46	1.1609	1.3766		1.743
146	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	30	0.3	3.243	2.661	1.1721	1.3795		1.847
147	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	32	0.32	3.561	2.866	1.1833	1.3824		1.961
148	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	34	0.34	3.898	3.073	1.1945	1.3853		2.086
149	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	36	0.36	4.257	3.284	1.2056	1.3881		2.222
150	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	38	0.38	4.638	3.499	1.2166	1.3909		2.371
151	Ammonium sulfate	Ammonium sulfate	Mascagnite	(NH4)2SO4	7783-20-2	132.14	40	0.4	5.045	3.716	1.2277	1.3938		2.53
152	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	0.5	0.005	0.024	0.024	1.0026	1.3337	0.12	1.009
153	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	1	0.01	0.049	0.048	1.007	1.3345	0.23	1.016
154	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	2	0.02	0.098	0.098	1.0159	1.336	0.46	1.026
155	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	3	0.03	0.149	0.148	1.0249	1.3375	0.69	1.037
156	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	4	0.04	0.2	0.199	1.0341	1.3391	0.93	1.049
157	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	5	0.05	0.253	0.251	1.0434	1.3406	1.18	1.062
158	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	6	0.06	0.307	0.303	1.0528	1.3422	1.44	1.075
159	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	7	0.07	0.361	0.357	1.0624	1.3438	1.7	1.087
160	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	8	0.08	0.418	0.412	1.0721	1.3454	1.98	1.101
161	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	9	0.09	0.475	0.468	1.082	1.347	2.27	1.114
162	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	10	0.1	0.534	0.524	1.0921	1.3487	2.58	1.129
163	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	12	0.12	0.655	0.641	1.1128	1.352	3.22	1.161
164	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	14	0.14	0.782	0.763	1.1342	1.3555	3.92	1.195
165	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	16	0.16	0.915	0.889	1.1564	1.3591	4.69	1.234
166	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	18	0.18	1.054	1.019	1.1793	1.3627		1.277
167	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	20	0.2	1.201	1.156	1.2031	1.3664		1.325
168	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	22	0.22	1.355	1.297	1.2277	1.3703		1.378
169	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	24	0.24	1.517	1.444	1.2531	1.3741		1.437
170	Barium chloride	Barium chloride		BaCl2	10361-37-2	208.233	26	0.26	1.687	1.597	1.2793	1.3781		1.503
171	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	0.5	0.005	0.045	0.045	1.0024	1.3342	0.22	1.015
172	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	1	0.01	0.091	0.091	1.0065	1.3354	0.44	1.028
173	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	2	0.02	0.184	0.183	1.0148	1.3378	0.88	1.05
174	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	3	0.03	0.279	0.277	1.0232	1.3402	1.33	1.078
175	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	4	0.04	0.375	0.372	1.0316	1.3426	1.82	1.11
176	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	5	0.05	0.474	0.469	1.0401	1.3451	2.35	1.143
177	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	6	0.06	0.575	0.567	1.0486	1.3475	2.93	1.175
178	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	7	0.07	0.678	0.667	1.0572	1.35	3.57	1.208
179	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	8	0.08	0.784	0.768	1.0659	1.3525	4.28	1.242
180	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	9	0.09	0.891	0.872	1.0747	1.3549	5.04	1.279
181	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	10	0.1	1.001	0.976	1.0835	1.3575	5.86	1.319
182	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	11	0.11	1.114	1.083	1.0923	1.36	6.74	1.362
183	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	12	0.12	1.229	1.191	1.1014	1.3625	7.7	1.408
184	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	13	0.13	1.346	1.301	1.1105	1.3651	8.72	1.457
185	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	14	0.14	1.467	1.413	1.1198	1.3677	9.83	1.508
186	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	15	0.15	1.59	1.526	1.1292	1.3704	11.01	1.564
187	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	16	0.16	1.716	1.641	1.1386	1.373	12.28	1.625
188	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	17	0.17	1.846	1.759	1.1482	1.3757	13.65	1.691
189	Calcium chloride	Calcium chloride	Hydrophilite	CaCl2	10043-52-4	110.984	18	0.18	1.978	1.878	1.1579	1.3784	15.11	1.764
